id_mutation,date_mutation,nature_mutation,valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,prix_au_m2
2025-413973,02/01/2025,Vente,137000.0,83000,Toulon,Appartement,41.0,1,,5.939231,43.108638,3341.46
2025-414168,02/01/2025,Vente,181650.0,83200,Toulon,Appartement,68.0,4,,5.911094,43.138627,2671.32
2025-414046,02/01/2025,Vente,200000.0,83000,Toulon,Appartement,90.0,3,,5.933723,43.120078,2222.22
2024-1009679,02/02/2024,Vente,70000.0,83200,Toulon,Appartement,56.0,3,,5.919802,43.129865,1250.0
2024-1009915,02/02/2024,Vente,73500.0,83100,Toulon,Appartement,26.0,1,,5.947701,43.1218,2826.92
2024-1009938,02/02/2024,Vente,79500.0,83200,Toulon,Appartement,54.0,2,,5.915246,43.128927,1472.22
2024-1010493,02/02/2024,Vente,100916.27,83100,Toulon,Appartement,44.0,2,,5.948114,43.121136,2293.55
2024-1010185,02/02/2024,Vente,103000.0,83100,Toulon,Appartement,31.0,2,,5.95596,43.123297,3322.58
2024-1010273,02/02/2024,Vente,124000.0,83200,Toulon,Appartement,32.0,2,,5.910821,43.137877,3875.0
2024-1010468,02/02/2024,Vente,127050.0,83000,Toulon,Appartement,62.0,2,,5.940248,43.119164,2049.19
2024-1010033,02/02/2024,Vente,150000.0,83200,Toulon,Appartement,62.0,3,,5.892712,43.133408,2419.35
2024-1009946,02/02/2024,Vente,153000.0,83200,Toulon,Appartement,56.0,3,,5.903162,43.131762,2732.14
2024-1009673,02/02/2024,Vente,161950.0,83200,Toulon,Appartement,76.0,4,,5.894219,43.138363,2130.92
2024-1010088,02/02/2024,Vente,167000.0,83000,Toulon,Appartement,67.0,4,,5.922654,43.128301,2492.54
2024-1010072,02/02/2024,Vente,299750.0,83000,Toulon,Appartement,107.0,4,,5.922016,43.12726,2801.4
2024-1010337,02/02/2024,Vente,360000.0,83000,Toulon,Maison,49.0,3,885.0,5.969799,43.112008,7346.94
2024-1009879,02/02/2024,Vente,380000.0,83000,Toulon,Maison,80.0,4,335.0,5.961138,43.115029,4750.0
2024-1012276,02/04/2024,Vente,65000.0,83100,Toulon,Appartement,34.0,2,,5.955039,43.122913,1911.76
2024-1011652,02/04/2024,Vente,70000.0,83000,Toulon,Appartement,33.0,2,,5.935128,43.122636,2121.21
2024-1012528,02/04/2024,Vente,80000.0,83100,Toulon,Appartement,57.0,3,,5.978928,43.131642,1403.51
2024-1011760,02/04/2024,Vente,100000.0,83200,Toulon,Appartement,57.0,3,,5.917578,43.149332,1754.39
